time,cpu_usr,cpu_sys,cpu_idl,cpu_wai,cpu_stl,mem_used,mem_free,mem_buff,mem_cach,io_total_read,io_total_writ,io_sda_read,io_sda_writ,io_sdh_read,io_sdh_writ,dsk_total_read,dsk_total_writ,dsk_sda_read,dsk_sda_writ,dsk_sdh_read,dsk_sdh_writ,root_used,root_free,data_used,data_free
24-02 13:33:01,6,2,85,7,0,3213885440,12992276070.4,1383071744,15461882265.6,0,347,0,222,0,125,0,274726912,0,173015040,0,101711872,32319628902.4,500363689984,1967128576,525059751936
24-02 13:33:02,8,2,82,7,0,3262119936,12884901888,1383071744,15569256448,0,375,0,231,0,138,0,270532608,0,176160768,0,93323264,32427003084.8,500363689984,1989148672,525059751936
24-02 13:33:03,3,3,89,4,0,3258974208,12777527705.6,1383071744,15676630630.4,0,323,0,192,0,131,0,200278016,0,117440512,0,82837504,32534377267.2,500363689984,2010120192,525059751936
24-02 13:33:04,4,2,90,4,0,3231711232,12670153523.2,1383071744,15784004812.8,0,365,0,185,0,168,0,210763776,0,126877696,0,82837504,32641751449.6,500363689984,2032140288,525059751936
24-02 13:33:05,3,2,78,17,0,3239051264,12562779340.8,1383071744,15784004812.8,0,663,0,225,0,435,0,502267904,0,181403648,0,320864256,32641751449.6,500363689984,2052063232,525059751936
24-02 13:33:06,4,2,77,17,0,3234856960,12562779340.8,1383071744,15891378995.2,0,453,0,287,0,119,0,261095424,0,173015040,0,83886080,32641751449.6,500363689984,2074083328,525059751936
24-02 13:33:07,3,1,79,17,0,3236954112,12562779340.8,1383071744,15891378995.2,0,356,0,236,0,120,0,255852544,0,173015040,0,82837504,32641751449.6,500363689984,2096103424,525059751936
24-02 13:33:08,4,3,81,12,0,3230662656,12455405158.4,1383071744,15998753177.6,0,689,0,299,0,386,0,477102080,0,174063616,0,303038464,32749125632,499289948160,2113929216,525059751936
24-02 13:33:09,4,3,82,11,0,3185573888,12348030976,1383071744,16106127360,0,715,0,276,0,439,0,401604608,0,173015040,0,228589568,32856499814.4,499289948160,2139095040,525059751936
24-02 13:33:10,3,1,74,21,0,3185573888,12348030976,1383071744,16106127360,0,468,0,238,0,224,0,358612992,0,173015040,0,185597952,32856499814.4,499289948160,2159017984,525059751936
24-02 13:33:11,4,3,80,13,0,3195011072,12670153523.2,1383071744,15784004812.8,0,490,0,348,0,140,0,279969792,0,171966464,0,108003328,32427003084.8,500363689984,2182086656,525059751936
24-02 13:33:12,4,3,87,6,0,3193962496,12562779340.8,1383071744,15891378995.2,0,397,0,262,0,133,0,267386880,0,176160768,0,91226112,32534377267.2,500363689984,2203058176,525059751936
24-02 13:33:13,3,2,85,10,0,3184525312,12455405158.4,1383071744,15998753177.6,0,453,0,284,0,155,0,257949696,0,173015040,0,82837504,32641751449.6,500363689984,2224029696,525059751936
24-02 13:33:14,4,3,86,7,0,3196059648,12348030976,1383071744,16106127360,0,403,0,249,0,138,0,254803968,0,174063616,0,80740352,32749125632,499289948160,2246049792,525059751936
24-02 13:33:15,4,3,83,10,0,3198156800,12240656793.6,1383071744,16213501542.4,0,698,0,227,0,471,0,500170752,0,174063616,0,326107136,32856499814.4,499289948160,2267021312,525059751936
24-02 13:33:16,5,2,88,5,0,3200253952,12133282611.2,1383071744,16320875724.8,0,338,0,204,0,128,0,170917888,0,120586240,0,50331648,32963873996.8,499289948160,2287992832,525059751936
24-02 13:33:17,4,2,92,2,0,3203399680,12025908428.8,1383071744,16428249907.2,0,274,0,173,0,101,0,111149056,0,61865984,0,49283072,32963873996.8,499289948160,2310012928,525059751936
24-02 13:33:18,3,1,90,6,0,3204448256,11918534246.4,1383071744,16535624089.6,0,267,0,132,0,95.0,0,138412032,0,87031808,0,49283072,33071248179.2,499289948160,2329935872,525059751936
24-02 13:33:19,2,1,78,18,0,3217031168,11918534246.4,1383071744,16535624089.6,0,297,0,192,0,105,0,224395264,0,173015040,0,51380224,33071248179.2,499289948160,2351955968,525059751936
24-02 13:33:20,3,2,76,19,0,3208642560,11918534246.4,1384120320,16535624089.6,0,757,0,323,0,424,0,491782144,0,174063616,0,317718528,33071248179.2,499289948160,2357198848,525059751936
24-02 13:33:21,3,1,80,16,0,3200253952,11918534246.4,1384120320,16535624089.6,1.00,391,1.00,278,0,112,4096,224395264,4096,174063616,0,50331648,33071248179.2,499289948160,2357198848,525059751936
24-02 13:33:22,4,3,79,15,0,3195011072,11811160064,1384120320,16642998272,0,818,0,245,0,571,0,378535936,0,174063616,0,205520896,33178622361.6,499289948160,2357198848,525059751936
24-02 13:33:23,2,1,82,15,0,3182428160,11811160064,1384120320,16642998272,0,347,0,240,0,106,0,219152384,0,173015040,0,46137344,33178622361.6,499289948160,2357198848,525059751936
24-02 13:33:24,5,2,84,9,0,3180331008,12348030976,1384120320,16106127360,0,602,0,457,0,133,0,160432128,0,109051904,0,51380224,32641751449.6,500363689984,2357198848,525059751936
24-02 13:33:25,3,2,94,2,0,3177185280,12348030976,1384120320,16106127360,0,300,0,140,0,156,0,98566144,0,42991616,0,55574528,32641751449.6,500363689984,2358247424,525059751936
24-02 13:33:26,4,2,92,3,0,3174039552,12348030976,1384120320,16213501542.4,0,296,0,159,0,127,0,116391936,0,61865984,0,54525952,32641751449.6,500363689984,2358247424,525059751936
24-02 13:33:27,2,1,94,2,0,3174039552,12240656793.6,1384120320,16213501542.4,0,197,0,109,0,88.0,0,89128960,0,41943040,0,47185920,32749125632,499289948160,2362441728,525059751936
24-02 13:33:28,3,1,94,2,0,3172990976,12240656793.6,1384120320,16213501542.4,0,215,0,118,0,97.0,0,93323264,0,42991616,0,50331648,32749125632,499289948160,2384461824,525059751936
24-02 13:33:29,2,2,94,3,0,3170893824,12133282611.2,1384120320,16320875724.8,0,256,0,112,0,99.0,0,95420416,0,42991616,0,50331648,32856499814.4,499289948160,2406481920,525059751936
24-02 13:33:30,3,2,91,4,0,3161456640,12025908428.8,1384120320,16428249907.2,0,447,0,179,0,262,0,265289728,0,95420416,0,168820736,32856499814.4,499289948160,2426404864,525059751936
24-02 13:33:31,3,2,93,3,0,3164602368,12025908428.8,1384120320,16535624089.6,0,247,0,141,0,102,0,158334976,0,85983232,0,72351744,32963873996.8,499289948160,2448424960,525059751936
24-02 13:33:32,3,2,87,8,0,3161456640,11918534246.4,1384120320,16535624089.6,0,423,0,308,0,113,0,202375168,0,148897792,0,53477376,32963873996.8,499289948160,2469396480,525059751936
24-02 13:33:33,4,1,93,2,0,3178233856,11811160064,1384120320,16642998272,0,252,0,142,0,110,0,94371840,0,44040192,0,50331648,32963873996.8,499289948160,2491416576,525059751936
24-02 13:33:34,4,2,92,2,0,3175088128,11811160064,1384120320,16750372454.4,0,311,0,156,0,120,0,112197632,0,59768832,0,49283072,33071248179.2,499289948160,2512388096,525059751936
24-02 13:33:35,3,2,90,6,0,3183476736,11703785881.6,1384120320,16750372454.4,0,691,0,142,0,549,0,307232768,0,37748736,0,268435456,33071248179.2,499289948160,2532311040,525059751936
24-02 13:33:36,4,2,91,3,0,3175088128,11596411699.2,1384120320,16857746636.8,0,332,0,109,0,213,0,193986560,0,47185920,0,146800640,33178622361.6,499289948160,2554331136,525059751936
24-02 13:33:37,3,1,88,7,0,3172990976,11596411699.2,1384120320,16857746636.8,0,392,0,293,0,99.0,0,178257920,0,127926272,0,49283072,33178622361.6,499289948160,2575302656,525059751936
24-02 13:33:38,3,1,81,15,0,3169845248,11596411699.2,1384120320,16965120819.2,0,430,0,334,0,93.0,0,222298112,0,174063616,0,48234496,33178622361.6,499289948160,2597322752,525059751936
24-02 13:33:39,2,1,82,15,0,3177185280,11489037516.8,1384120320,16965120819.2,0,391,0,297,0,94.0,0,224395264,0,174063616,0,50331648,33178622361.6,499289948160,2619342848,525059751936
24-02 13:33:40,7,3,86,4,0,3236954112,11274289152,1384120320,17072495001.6,0,270,0,169,0,95.0,0,156237824,0,106954752,0,49283072,33285996544,499289948160,2640314368,525059751936
24-02 13:33:41,3,2,93,3,0,3235905536,11274289152,1384120320,17179869184,0,440,0,128,0,268,0,199229440,0,44040192,0,152043520,33393370726.4,499289948160,2661285888,525059751936
24-02 13:33:42,4,1,93,2,0,3236954112,11166914969.6,1384120320,17179869184,0,222,0,100,0,118,0,93323264,0,42991616,0,50331648,33393370726.4,499289948160,2682257408,525059751936
24-02 13:33:43,3,1,93,2,0,3239051264,11059540787.2,1384120320,17287243366.4,0,230,0,128,0,102,0,108003328,0,59768832,0,47185920,33500744908.8,499289948160,2704277504,525059751936
24-02 13:33:44,3,2,92,3,0,3188719616,11059540787.2,1384120320,17394617548.8,0,397,0,253,0,132,0,117440512,0,68157440,0,49283072,33500744908.8,499289948160,2725249024,525059751936
24-02 13:33:45,2,1,80,17,0,3198156800,11059540787.2,1384120320,17394617548.8,0,733,0,237,0,496,0,462422016,0,173015040,0,289406976,33500744908.8,499289948160,2747269120,525059751936
24-02 13:33:46,3,2,80,14,0,3199205376,11489037516.8,1384120320,16965120819.2,0,497,0,323,0,145,0,248512512,0,161480704,0,84934656,33071248179.2,499289948160,2768240640,525059751936
24-02 13:33:47,3,2,93,3,0,3203399680,11381663334.4,1384120320,16965120819.2,0,280,0,152,0,123,0,101711872,0,51380224,0,50331648,33071248179.2,499289948160,2789212160,523986010112
24-02 13:33:48,3,2,92,2,0,3201302528,11381663334.4,1384120320,17072495001.6,0,206,0,112,0,94.0,0,93323264,0,44040192,0,49283072,33071248179.2,499289948160,2811232256,523986010112
24-02 13:33:49,3,1,94,2,0,3187671040,11381663334.4,1384120320,17072495001.6,0,192,0,101,0,91.0,0,90177536,0,41943040,0,49283072,33178622361.6,499289948160,2832203776,523986010112
24-02 13:33:50,3,2,84,12,0,3209691136,11274289152,1384120320,17179869184,0,312,0,212,0,94.0,0,231735296,0,166723584,0,66060288,33178622361.6,499289948160,2853175296,523986010112
24-02 13:33:51,3,2,82,13,0,3215982592,11166914969.6,1384120320,17287243366.4,0,670,0,407,0,261,0,338690048,0,171966464,0,166723584,33285996544,499289948160,2876243968,523986010112
24-02 13:33:52,4,2,89,5,0,3189768192,11059540787.2,1384120320,17394617548.8,0,348,0,180,0,104,0,204472320,0,142606336,0,58720256,33393370726.4,499289948160,2896166912,523986010112
24-02 13:33:53,3,1,93,3,0,3182428160,10952166604.8,1384120320,17501991731.2,0,291,0,147,0,142,0,132120576,0,70254592,0,60817408,33393370726.4,499289948160,2917138432,523986010112
24-02 13:33:54,3,2,89,5,0,3168796672,10952166604.8,1384120320,17501991731.2,0,314,0,177,0,125,0,193986560,0,110100480,0,82837504,33500744908.8,499289948160,2939158528,523986010112
24-02 13:33:55,4,2,90,4,0,3179282432,10844792422.4,1384120320,17609365913.6,0,286,0,165,0,121,0,190840832,0,109051904,0,81788928,33500744908.8,499289948160,2960130048,523986010112
24-02 13:33:56,4,3,84,9,0,3183476736,10726680821.76,1384120320,17716740096,0,703,0,292,0,405,0,471859200,0,135266304,0,336592896,33608119091.2,499289948160,2981101568,523986010112
24-02 13:33:57,3,2,87,9,0,3186622464,10619306639.36,1385168896,17824114278.4,0,390,0,271,0,112,0,255852544,0,173015040,0,82837504,33715493273.6,499289948160,3002073088,523986010112
24-02 13:33:58,4,2,87,6,0,3180331008,10511932456.96,1385168896,17931488460.8,0,303,0,193,0,110,0,211812352,0,135266304,0,76546048,33715493273.6,499289948160,3025141760,523986010112
24-02 13:33:59,3,2,88,7,0,3185573888,10438574080,1385168896,17931488460.8,0,479,0,220,0,230,0,268435456,0,118489088,0,148897792,33822867456,498216206336,3046113280,523986010112
24-02 13:34:00,4,2,75,19,0,3181379584,10418651136,1385168896,18038862643.2,0,928,0,273,0,649,0,486539264,0,173015040,0,313524224,33822867456,498216206336,3067084800,523986010112
24-02 13:34:01,3,2,79,16,0,3190816768,10522669875.2,1385168896,17931488460.8,0,629,0,349,0,280,0,301989888,0,174063616,0,126877696,33715493273.6,499289948160,3090153472,523986010112
24-02 13:34:02,4,3,75,19,0,3192913920,10844792422.4,1385168896,17609365913.6,0,587,0,438,0,145,0,267386880,0,173015040,0,94371840,33393370726.4,499289948160,3109027840,523986010112
24-02 13:34:03,3,3,86,8,0,3191865344,10694468567.04,1385168896,17716740096,0,463,0,332,0,131,0,252706816,0,170917888,0,81788928,33500744908.8,499289948160,3132096512,523986010112
24-02 13:34:04,4,3,87,6,0,3199205376,10554882129.92,1385168896,17824114278.4,0,375,0,234,0,127,0,254803968,0,173015040,0,81788928,33608119091.2,499289948160,3152019456,523986010112
24-02 13:34:05,3,3,87,7,0,3199205376,10415505408,1385168896,18038862643.2,0,351,0,215,0,136,0,255852544,0,173015040,0,82837504,33715493273.6,499289948160,3174039552,523986010112
24-02 13:34:06,3,3,83,11,0,3196059648,10281287680,1385168896,18146236825.6,0,649,0,215,0,398,0,487587840,0,173015040,0,312475648,33822867456,498216206336,3191865344,523986010112
