datetime,insert_total,insert_original,insert_duplicate,insert_avg_latency_ms,query_count,query_failed,query_avg_latency_ms
2026-03-01 12:08:27,60,0,60,262.21,1510,0,76.03
2026-03-01 12:08:32,340,162,178,422.07,1972,0,48.94
2026-03-01 12:08:37,240,240,0,287.16,680,0,50.69
2026-03-01 12:08:42,220,220,0,388.94,480,0,48.61
2026-03-01 12:08:47,180,128,52,349.62,440,0,98.23
2026-03-01 12:08:52,760,562,198,245.06,360,0,73.89
2026-03-01 12:08:57,1060,810,250,83.7,1044,0,77.76
2026-03-01 12:09:02,700,450,250,107.67,1240,0,77.8
2026-03-01 12:09:07,240,240,0,186.43,1712,0,60.48
2026-03-01 12:09:12,160,120,40,395.44,1524,0,50.96
2026-03-01 12:09:17,320,110,210,417.59,320,0,82.48
2026-03-01 12:09:22,220,220,0,272.36,640,0,59.01
2026-03-01 12:09:27,360,360,0,433.27,440,0,71.75
2026-03-01 12:09:32,620,370,250,190.81,710,0,73.12
2026-03-01 12:09:37,780,530,250,117.85,798,0,73.38
2026-03-01 12:09:42,680,680,0,115.57,1208,0,83.58
2026-03-01 12:09:47,540,290,250,112.95,1350,0,74.59
2026-03-01 12:09:52,260,260,0,292.12,1640,0,60.96
2026-03-01 12:09:57,200,200,0,366.53,774,0,58.91
2026-03-01 12:10:02,280,70,210,403.1,400,0,52.26
2026-03-01 12:10:07,340,300,40,408.19,560,0,51.22
2026-03-01 12:10:12,340,328,12,198.1,674,0,59.83
2026-03-01 12:10:17,140,120,20,314.94,686,0,47.43
2026-03-01 12:10:22,760,542,218,239.33,240,0,55.26
2026-03-01 12:10:27,900,650,250,105.91,1356,0,72.9
2026-03-01 12:10:32,320,280,40,119.21,1736,0,56.94
2026-03-01 12:10:37,200,8,192,399.54,908,0,42.08
2026-03-01 12:10:42,240,222,18,411.82,400,0,48.09
2026-03-01 12:10:47,280,280,0,423.9,480,0,50.12
2026-03-01 12:10:52,580,330,250,198.02,386,0,69.9
2026-03-01 12:10:57,100,100,0,262.83,1334,0,54.15
2026-03-01 12:11:02,560,460,100,287.24,200,0,58.36
2026-03-01 12:11:07,680,530,150,134.35,1010,0,71.29
2026-03-01 12:11:12,740,510,230,119.29,1470,0,68.2
2026-03-01 12:11:17,80,60,20,400.38,1480,0,49.13
2026-03-01 12:11:22,360,348,12,380.84,8,0,36.02
2026-03-01 12:11:27,180,160,20,402.41,872,0,53.47
2026-03-01 12:11:32,440,222,218,281.09,346,0,74.45
2026-03-01 12:11:37,360,360,0,206.7,894,0,100.19
2026-03-01 12:11:42,400,168,232,369.79,720,0,52.44
2026-03-01 12:11:47,880,750,130,100.59,352,0,83.27
2026-03-01 12:11:52,840,662,178,91.42,896,0,110.01
2026-03-01 12:11:57,100,68,32,144.89,1034,0,97.25
2026-03-01 12:12:02,380,202,178,426.75,1500,0,66.85
2026-03-01 12:12:07,140,140,0,205.47,1418,0,51.04
2026-03-01 12:12:12,400,400,0,388.35,280,0,62.48
2026-03-01 12:12:17,860,590,270,124.79,800,0,78.54
2026-03-01 12:12:22,800,570,230,107.89,1142,0,85.51
2026-03-01 12:12:27,140,140,0,220.91,1636,0,61.33
2026-03-01 12:12:32,560,310,250,317.63,758,0,54.34
2026-03-01 12:12:37,320,320,0,128.14,614,0,79.62
2026-03-01 12:12:42,260,260,0,383.65,1024,0,55.93
