timestamp,records_inserted,records_queried
2026-02-24 14:05:52,500,1000
2026-02-24 14:05:57,500,1004
2026-02-24 14:06:02,498,996
2026-02-24 14:06:07,502,1004
2026-02-24 14:06:12,486,972
2026-02-24 14:06:17,510,1016
2026-02-24 14:06:22,508,1020
2026-02-24 14:06:27,492,984
2026-02-24 14:06:32,504,1008
2026-02-24 14:06:37,496,988
2026-02-24 14:06:42,500,1004
2026-02-24 14:06:47,498,996
2026-02-24 14:06:52,498,992
2026-02-24 14:06:57,502,1008
2026-02-24 14:07:02,497,994
2026-02-24 14:07:07,490,980
2026-02-24 14:07:12,514,1024
2026-02-24 14:07:17,492,988
2026-02-24 14:07:22,505,1006
2026-02-24 14:07:27,501,1006
2026-02-24 14:07:32,498,992
2026-02-24 14:07:37,498,996
2026-02-24 14:07:42,502,1008
2026-02-24 14:07:47,500,1000
2026-02-24 14:07:52,497,994
2026-02-24 14:07:57,500,1000
2026-02-24 14:08:02,498,996
2026-02-24 14:08:07,492,984
2026-02-24 14:08:12,514,1024
2026-02-24 14:08:17,490,984
2026-02-24 14:08:22,508,1016
2026-02-24 14:08:27,490,980
2026-02-24 14:08:32,510,1020
2026-02-24 14:08:37,494,984
2026-02-24 14:08:42,500,1000
2026-02-24 14:08:47,494,992
2026-02-24 14:08:52,498,996
2026-02-24 14:08:57,506,1012
2026-02-24 14:09:02,498,992
2026-02-24 14:09:07,500,1000
2026-02-24 14:09:12,504,1008
2026-02-24 14:09:17,496,992
2026-02-24 14:09:22,500,1004
2026-02-24 14:09:27,500,996
2026-02-24 14:09:32,502,1008
2026-02-24 14:09:37,494,988
2026-02-24 14:09:42,492,984
2026-02-24 14:09:47,510,1020
2026-02-24 14:09:52,498,996
2026-02-24 14:09:57,496,992
2026-02-24 14:10:02,512,1016
2026-02-24 14:10:07,492,988
2026-02-24 14:10:12,501,1006
2026-02-24 14:10:17,496,992
2026-02-24 14:10:22,502,1004
2026-02-24 14:10:27,496,992
2026-02-24 14:10:32,500,1000
2026-02-24 14:10:37,496,992
2026-02-24 14:10:42,502,1004
2026-02-24 14:10:47,500,1000
2026-02-24 14:10:52,506,1012
2026-02-24 14:10:57,494,988
2026-02-24 14:11:02,502,1004
2026-02-24 14:11:07,496,992
2026-02-24 14:11:12,502,1004
2026-02-24 14:11:17,500,996
2026-02-24 14:11:22,498,1000
2026-02-24 14:11:27,500,1000
2026-02-24 14:11:32,494,988
2026-02-24 14:11:37,506,1008
